"National.Database.Number","Field.Number","Common.Name","Genus","Species","Affiliation","Country","City","County","State","Locality.Detail","Latitude","Longitude","Restrand","Findings.of.Human.Interaction","Boat.Collision","Shot","Fishery.Interaction","Other.Human.Interaction","Other.Human.Int.Description","Gear.Collection.Flag","Gear.Disposition.Flag","Other.Findings.upon.Level.Y.N","Other.Findings...Illness.Flag","Other.Findings...Injury.Flag","Other.Findings...Pregnant.Flag","Year.of.Observation","Month.of.Observation","Day.of.Observation","How.Observed","Observation.Status","Disentangled.Flag","Sick.Flag","Injured.Flag","Out.of.Habitat.Flag","Abandoned.Orphaned.Flag","Location.Hazardous.to.Animal","Location.Hazardous.Public","Entangled.Flag","Sex","Age.Class","Length","Length.Units","Weight","Weight.Units","Necropsied.Flag","City...from.strandings.table","Mammal.Type","Interaction.Type","Pinniped.Common.Name"
"NW-2010-1120875","WDFW2010-014","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Murdin Cove",47.6482,-122.5109,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2010,"JAN",28,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",160,"cm",80,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152565","WDFW2012-036","Sea lion, Steller","Eumetopias","jubatus","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","15684 Pt Monroe Drive",47.7085,-122.5109,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,"N",2012,"MAR",20,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Subadult",215,"cm",300,"kg","Y",NA,"Pinniped","NA","Steller sea lion"
"NW-2013-1154576","WDFW2013-101","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Point Munroe",47.709,-122.511,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2013,"SEP",29,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",85,"cm",13,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152575","WDFW2012-213","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Next to ferry",47.6216,-122.5136,"N","CBD","N","N","N","N",NA,NA,NA,"Y","Y","N","N",2012,"DEC",17,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Male","Pup",89,"cm",15.4,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2014-1170947","WDFW2014-060","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Eagle Harbor",47.61,-122.514,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2014,"NOV",17,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142196","WDFW2011-135","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Blakely Harbor",47.5974,-122.5146,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"SEP",20,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Pup",85,"cm",8.5,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085979","WDFW2008-037","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","9551 NE South Beach Dr. Bainbridge Island",47.5718,-122.5204,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"APR",28,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Adult",158,"cm",61,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1182268","WDFW2015-111","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Fort Ward State park",47.581,-122.527,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"DEC",29,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1086075","WDFW2008-105","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","10870 Broomgerie Rd",47.643,-122.5295,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"SEP",7,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Pup",96,"cm",25,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1086077","WDFW2008-106","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","10870 Boomgerrie Rd, WA",47.643,-122.5295,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"SEP",7,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Adult",154,"cm",50,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132375","WDFW2010-102","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Pleasant Beach",47.5927,-122.5335,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2010,"JUL",25,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Female","Pup",69,"cm",7.5,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1182248","WDFW2015-087","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","8860 Spargur Loop Rd",47.695,-122.534,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2015,"SEP",26,"Beach or Land","ALIVE","N","N","N","Y","N","N","N",NA,"Male","Unid",NA,NA,NA,NA,"N",NA,"Pinniped","Other","Harbor seal"
"NW-2011-1142220","WDFW2011-152","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","3557 Pleasant Beach",47.5941,-122.5366,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"OCT",12,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",87,"cm",14.5,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132494","WDFW2010-189/ BL1854","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","14559 Skogen Lane Northeast, Bainbridge Island",47.699,-122.538,"N","Y","N","N","N","Y",NA,NA,NA,"Y","Y","N",NA,2010,"OCT",29,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Male","Pup",84,"cm",13,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2013-1152566","WDFW2013-003","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","S. Side Agate pass",47.712,-122.5635,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2013,"JAN",5,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",95,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132427","WDFW2010-152","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","3142 Point White Road",47.5912,-122.566,"N","Y","N","N","N","Y",NA,NA,NA,"Y",NA,"Y",NA,2010,"SEP",18,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Adult",153,"cm",84.5,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2012-1152574","WDFW2012-188","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","3708 pt. White Dr. BI, WA",47.5907,-122.567,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2012,"OCT",12,"Beach or Land","DEAD - CONDITION UNKNOWN","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085895","WDFW2008-064","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Point White",47.5907,-122.5672,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"JUN",26,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",230,"cm",300,"kg","N",NA,"Pinniped","NA","California sea lion"
"NW-2011-1142170","WDFW2011-012","Pinniped, unidentified",NA,NA,"WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Lytle beach",47.5941,-122.5718,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"JAN",31,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",110,"cm",NA,NA,"N",NA,"Pinniped","NA","Unidentified"
"NW-2009-1104295","WDFW2009-126","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","200 yards south of Point white pier.",47.599,-122.5761,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2009,"NOV",10,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",140,"cm",60,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085955","WDFW2008-085","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","11067 Olallie Ln NE Bainbridge IS, WA",47.6583,-122.5869,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"JUL",5,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Female","Adult",150,"cm",100,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132514","WDFW2010-062","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","Fort Ward State Park",47.585,-122.5926,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"MAY",1,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",80,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1182234","WDFW2015-071","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bainbridge Island","Kitsap","WA","1/4 east of Fort Wand boat launch",47.6497,-122.6872,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y","N",2015,"AUG",22,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Pup",101,"cm",26,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1093959","WDFW2009-021","Seal, northern elephant","Mirounga","angustirostris","WDFW/MMI",NA,"Banbridge Island","Kitsap","WA","Robert road, Bainbridge",47.6681,-122.5075,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,NA,NA,2009,"APR",10,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",170,"cm",200,"kg","N",NA,"Pinniped","Other","Northern elephant seal"
"NW-2013-1152607","WDFW2013-063","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bangor","Kitsap","WA","In construction area at N side of base",47.7528,-122.7233,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N","Y",2013,"JUL",25,NA,"ALIVE","N","N","N","N","N","Y","N",NA,"Female","Adult",147,"cm",90,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2011-1142083","WDFW2011-188","Sea lion, Steller","Eumetopias","jubatus","WDFW/MMI",NA,"Bangor","Kitsap","WA","Bangor Submarine Base",47.731,-122.74,"N","Y","N","Y","N","N",NA,NA,NA,"Y",NA,"Y",NA,2011,"NOV",14,"Floating","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Adult",282,"cm",1229,"lb","Y",NA,"Pinniped","Gunshot","Steller sea lion"
"NW-2015-1182259","WDFW2015-101","Sea lion, Steller","Eumetopias","jubatus","WDFW/MMI",NA,"Bangor","Kitsap","WA","Devil's Head",47.7361,-122.7404,"N","Y","N","Y","N","N",NA,NA,NA,"Y",NA,"Y","N",2015,"NOV",2,"Floating","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Subadult",239,"cm",NA,NA,"Y",NA,"Pinniped","Gunshot","Steller sea lion"
"NW-2012-1152568","WDFW2012-187","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Bangor","Kitsap","WA","Naval Base, floating in restricted area",47.7307,-122.7405,"N","Y","N","Y","N","N",NA,NA,NA,"Y",NA,"Y",NA,2012,"SEP",11,"Floating","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",242,"cm",250,"kg","Y",NA,"Pinniped","Gunshot","California sea lion"
"NW-2012-1152627","WDFW2012-177","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bay Center","Pacific","WA","between Bay Center, Bone pt, and Stone pt",46.6163,-123.9589,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2012,"OCT",3,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",95,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152432","WDFW2012-178","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bay Center","Pacific","WA","Between bay center , bone pt. and stone pt.",46.6263,-123.9589,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2012,"OCT",3,"Beach or Land","DEAD - CONDITION UNKNOWN","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152459","WDFW2012-181","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bay Center","Pacific","WA","Betweem bay center, bone pt., and stone pt.",46.6263,-123.9589,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2012,"OCT",3,NA,"DEAD - CONDITION UNKNOWN","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152580","WDFW2012-179","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bay Center","Pacific","WA","Between bay center bone pt. and stone pt.",46.6263,-123.9589,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2012,"OCT",3,NA,"DEAD - CONDITION UNKNOWN","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152581","WDFW2012-180","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bay Center","Pacific","WA","Between bay center, bone pt., and stone pt.",46.6263,-123.9589,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2012,"OCT",3,"Beach or Land","DEAD - CONDITION UNKNOWN","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2006-1052829","WDFW0106-03","Sea lion, California","Zalophus","californianus","Washington Department of Fish and Wildlife","United States","Bear River Ridge","Pacific","WA","18.5 mile marker a 1/2 mile south of Jeldness Road on Hiway 101 to Long beach.",NA,NA,"N","CBD","N","N","N","N",NA,"N",NA,"CBD","N","N",NA,2006,"JAN",10,NA,"ALIVE","N","N","N","N","N","Y","Y",NA,"Male","Adult",60,"in",500,"lb","N",NA,"Pinniped","NA","California sea lion"
"NW-2012-1152534","WDFW2012-207","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Belfair","Kitsap","WA","little beef creek, under bridge",47.654,-122.793,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2012,"NOV",14,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",220,"cm",250,"kg","N",NA,"Pinniped","NA","California sea lion"
"NW-2013-1152485","WDFW2013-052","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Mason","WA","40E Rose Pnt Lane, Belfair",47.4156,-122.8713,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N","N",2013,"JUL",1,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Male","Pup",68,"cm",5,"kg","Y",NA,"Pinniped","Other","Harbor seal"
"NW-2010-1132378","WDFW2010-106","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Mason","WA","621 N.E. Gladwin Rd. near Belfair State Park",47.4307,-122.8714,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"AUG",4,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",65,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085983","WDFW2008-039","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Mason","WA","Plumb point/ Belfair State Park",47.4238,-122.8716,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"APR",30,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Male","Yearling",36,"in",40,"lb","N",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085997","WDFW2008-048","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Mason","WA","18341 E. State Route 106, Belfair",47.4065,-122.8727,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"MAY",21,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Adult",172,"cm",89,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2006-1065491","WDFW0906-06","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations","United States","Belfair","Kitsap","WA","Off Shore road",47.421,-122.8736,"N","CBD","N","N","N","N",NA,NA,NA,NA,"N","N",NA,2006,"SEP",25,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Pup",86,"cm",11.2,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1142241","WDFW2012-003","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Kitsap","WA","North Shore, 251 NE Landon Rd",47.4315,-122.876,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2012,"JAN",6,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",100,"cm",20,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1120862","WDFW2009-138","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Mason","WA","Belfair, By the marine rail",47.4287,-122.8764,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2009,"DEC",22,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142213","WDFW2011-155","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Mason","WA","Belfair State Park",47.429,-122.877,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"OCT",16,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1104457","WDFW2009-076","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Mason","WA","North Shore Drive",47.462,-122.8822,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2009,"AUG",14,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",78,"cm",10,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2006-1065423","WDFW0706-02","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations","United States","Belfair","Mason","WA","North Shore Dr.,Belfair",47.386,-122.92,"N","CBD","N","N","N","N",NA,NA,NA,NA,"N","N",NA,2006,"JUL",9,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",0,"in",0,"lb","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132379","WDFW2010-107","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Mason","WA","5 Miles SW of Belfair",47.412,-122.9236,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"JUL",10,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1104333","WDFW2009-100","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Mason","WA","6901 Northshore DR",47.488,-122.9322,"N","Y","N","N","N","Y",NA,NA,NA,NA,NA,"N",NA,2009,"SEP",11,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Male","Pup",79,"cm",7,"kg","N",NA,"Pinniped","Other","Harbor seal"
"NW-2008-1086059","WDFW2008-140","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Mason","WA","6781 North Shore Dr. Belfair, WA",47.4064,-122.9374,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"DEC",28,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Pup",90,"cm",15,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2009-1104289","WDFW2009-123","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Mason","WA","6841 north shore road Belfair",47.4,-122.9593,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2009,"OCT",27,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Unid",90,"cm",12,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2012-1152446","WDFW2012-208","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Kitsap","WA","16107 NE North Shore Rd.",47.397,-122.9672,"N","CBD","N","N","N","N",NA,NA,NA,"Y",NA,"Y",NA,2012,"NOV",15,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Pup",95,"cm",14,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078127","WDFW1007-18","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Belfair","Kitsap","WA","1241 N shore Dr, Belfair",47.3866,-122.9853,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2007,"OCT",24,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",80,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2010-1132419","WDFW2010-134","Pinniped, unidentified",NA,NA,"WDFW/MMI",NA,"Belfair","Mason","WA","10261 Northeast Northshore Road",47.3787,-123.0136,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2010,"SEP",30,"Floating","DEAD - CONDITION UNKNOWN","N","N","N","N","N","N","N",NA,"Unid","Unid",90,"cm",15,"kg","N",NA,"Pinniped","NA","Unidentified"
"NW-2009-1104477","WDFW2009-088","Seal, harbor","Phoca","vitulina","WDFW/MMI","United States","Belfair","Mason","WA","11241 N. Shore Dr.",47.3767,-123.0159,"N","CBD","N","N","N","N",NA,"N",NA,"Y","N","Y","N",2009,"AUG",28,"Beach or Land","ALIVE","N","N","N","N","Y","N","N",NA,"Female","Pup",80,"cm",8,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1182226","WDFW2015-061","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Kitsap","WA","12715 N North Shore Rd Belfair",47.3612,-123.0247,"N","N","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2015,"JUL",31,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",74,"cm",11.2,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2007-1078135","WDFW1107-01","Seal, harbor","Phoca","vitulina","WDFW Marine Mammal Investigations",NA,"Belfair","Kitsap","WA","15990 North shore DR",47.3556,-123.0356,"N","Y","N","N","Y","N",NA,NA,NA,NA,NA,"N",NA,2007,"NOV",1,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Pup",100,"cm",19.5,"kg","Y",NA,"Pinniped","Fisheries","Harbor seal"
"NW-2015-1182231","WDFW2015-068","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Belfair","Kitsap","WA","13391 NE North Shore dr",47.363,-123.0494,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"AUG",11,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Unid","Pup",80,"cm",9,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085977","WDFW2008-036","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bellingham","Whatcom","WA","Birch Bay Village Marina",48.9285,-122.7929,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"APR",11,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Adult",150,"cm",60,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2015-1182253","WDFW2015-095","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bremerton","Kitsap","WA","Illahee Park",47.595,-122.5921,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2015,"OCT",5,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",150,"cm",75,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2008-1085693","WDFW2008-020","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bremerton","Kitsap","WA","3739 bahia vista dr",47.5993,-122.593,"N","N","N","N","N","N",NA,NA,NA,NA,NA,"N",NA,2008,"FEB",27,"Beach or Land","FRESH DEAD","N","N","N","N","N","N","N",NA,"Female","Yearling",88,"cm",14,"kg","Y",NA,"Pinniped","NA","Harbor seal"
"NW-2013-1154544","WDFW2013-102","Seal, harbor","Phoca","vitulina","WDFW/MMI",NA,"Bremerton","Kitsap","WA","Ilahee Dock",47.615,-122.5942,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2013,"OCT",8,"Beach or Land","MODERATE DECOMPOSITION","N","N","N","N","N","N","N",NA,"Unid","Subadult",130,"cm",30,"kg","N",NA,"Pinniped","NA","Harbor seal"
"NW-2011-1142166","WDFW2011-017","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Bremerton","Kitsap","WA","Bachman Park (Trenton and Shore Dr.)",47.5783,-122.6049,"N","CBD","N","N","N","N",NA,NA,NA,NA,NA,NA,NA,2011,"MAR",4,"Beach or Land","ADVANCED DECOMPOSITION","N","N","N","N","N","N","N",NA,"Male","Adult",200,"cm",200,"kg","N",NA,"Pinniped","NA","California sea lion"
"NW-2010-1120820","WDFW2010-022","Sea lion, California","Zalophus","californianus","WDFW/MMI",NA,"Bremerton","Kitsap","WA","Beach near Manette",47.5676,-122.6108,"N","Y","N","N","N","Y",NA,NA,NA,"Y","Y","N",NA,2010,"JAN",2,"Beach or Land","ALIVE","N","Y","N","N","N","N","N",NA,"Male","Adult",230,"cm",250,"kg","N",NA,"Pinniped","Other","California sea lion"
